"lat","lon","year","mean"
33,2,1983,18.38
33,2,1984,17.17
33,2,1985,18.08
33,2,1986,17.52
33,2,1987,18.69
33,2,1988,18.17
33,2,1989,18.21
33,2,1990,18.53
33,2,1991,17.08
33,2,1992,16.86
33,2,1993,17.46
33,2,1994,18.04
33,2,1995,17.98
33,2,1996,17.38
33,2,1997,18.23
33,2,1998,17.85
33,2,1999,18.41
33,2,2000,18.37
33,2,2001,19.26
33,2,2002,18.85
33,2,2003,18.78
33,2,2004,18.19
33,2,2005,18.51
33,2,2006,18.97
33,2,2007,18.21
33,3,1983,19.41
33,3,1984,18.06
33,3,1985,19.05
33,3,1986,18.53
33,3,1987,19.61
33,3,1988,19.22
33,3,1989,19.11
33,3,1990,19.47
33,3,1991,18.08
33,3,1992,17.94
33,3,1993,18.44
33,3,1994,18.95
33,3,1995,18.82
33,3,1996,18.25
33,3,1997,19.09
33,3,1998,18.81
33,3,1999,19.43
33,3,2000,19.24
33,3,2001,20.06
33,3,2002,19.82
33,3,2003,19.71
33,3,2004,19.07
33,3,2005,19.42
33,3,2006,19.98
33,3,2007,19.27
33,4,1983,21.23
33,4,1984,19.69
33,4,1985,20.76
33,4,1986,20.3
33,4,1987,21.25
33,4,1988,21.04
33,4,1989,20.8
33,4,1990,21.21
33,4,1991,19.9
33,4,1992,19.72
33,4,1993,20.21
33,4,1994,20.65
33,4,1995,20.41
33,4,1996,19.91
33,4,1997,20.75
33,4,1998,20.52
33,4,1999,21.24
33,4,2000,20.87
33,4,2001,21.66
33,4,2002,21.53
33,4,2003,21.46
33,4,2004,20.8
33,4,2005,21.12
33,4,2006,21.74
33,4,2007,21.11
33,5,1983,22.63
33,5,1984,21.04
33,5,1985,22.04
33,5,1986,21.61
33,5,1987,22.45
33,5,1988,22.39
33,5,1989,22.03
33,5,1990,22.5
33,5,1991,21.28
33,5,1992,21.06
33,5,1993,21.56
33,5,1994,21.93
33,5,1995,21.59
33,5,1996,21.17
33,5,1997,22
33,5,1998,21.7
33,5,1999,22.54
33,5,2000,22
33,5,2001,22.85
33,5,2002,22.74
33,5,2003,22.76
33,5,2004,22.08
33,5,2005,22.31
33,5,2006,22.93
33,5,2007,22.43
33,6,1983,23.16
33,6,1984,21.68
33,6,1985,22.48
33,6,1986,22.04
33,6,1987,22.8
33,6,1988,22.82
33,6,1989,22.39
33,6,1990,22.9
33,6,1991,21.75
33,6,1992,21.54
33,6,1993,22.09
33,6,1994,22.39
33,6,1995,21.93
33,6,1996,21.61
33,6,1997,22.4
33,6,1998,21.97
33,6,1999,22.88
33,6,2000,22.26
33,6,2001,23.2
33,6,2002,23.05
33,6,2003,23.12
33,6,2004,22.45
33,6,2005,22.57
33,6,2006,23.16
33,6,2007,22.79
33,7,1983,23.15
33,7,1984,21.75
33,7,1985,22.45
33,7,1986,21.91
33,7,1987,22.68
33,7,1988,22.71
33,7,1989,22.27
33,7,1990,22.83
33,7,1991,21.68
33,7,1992,21.56
33,7,1993,22.11
33,7,1994,22.38
33,7,1995,21.75
33,7,1996,21.59
33,7,1997,22.25
33,7,1998,21.8
33,7,1999,22.68
33,7,2000,22.11
33,7,2001,23.03
33,7,2002,22.84
33,7,2003,22.9
33,7,2004,22.31
33,7,2005,22.37
33,7,2006,22.94
33,7,2007,22.64
33,8,1983,22.79
33,8,1984,21.51
33,8,1985,22.23
33,8,1986,21.65
33,8,1987,22.39
33,8,1988,22.39
33,8,1989,21.99
33,8,1990,22.49
33,8,1991,21.45
33,8,1992,21.42
33,8,1993,22.02
33,8,1994,22.35
33,8,1995,21.56
33,8,1996,21.52
33,8,1997,21.97
33,8,1998,21.73
33,8,1999,22.57
33,8,2000,21.93
33,8,2001,22.76
33,8,2002,22.56
33,8,2003,22.53
33,8,2004,22.11
33,8,2005,22.15
33,8,2006,22.77
33,8,2007,22.47
33,9,1983,22.35
33,9,1984,21.22
33,9,1985,21.93
33,9,1986,21.32
33,9,1987,22.06
33,9,1988,21.94
33,9,1989,21.67
33,9,1990,22.06
33,9,1991,21.15
33,9,1992,21.22
33,9,1993,21.85
33,9,1994,22.23
33,9,1995,21.29
33,9,1996,21.41
33,9,1997,21.61
33,9,1998,21.53
33,9,1999,22.33
33,9,2000,21.67
33,9,2001,22.35
33,9,2002,22.21
33,9,2003,22.05
33,9,2004,21.78
33,9,2005,21.79
33,9,2006,22.53
33,9,2007,22.2
33,10,1983,21.75
33,10,1984,20.81
33,10,1985,21.45
33,10,1986,20.93
33,10,1987,21.54
33,10,1988,21.4
33,10,1989,21.22
33,10,1990,21.58
33,10,1991,20.76
33,10,1992,20.88
33,10,1993,21.51
33,10,1994,21.87
33,10,1995,20.92
33,10,1996,21.1
33,10,1997,21.15
33,10,1998,21.11
33,10,1999,21.88
33,10,2000,21.28
33,10,2001,21.76
33,10,2002,21.69
33,10,2003,21.47
33,10,2004,21.23
33,10,2005,21.29
33,10,2006,22.06
33,10,2007,21.76
33,11,1983,21.13
33,11,1984,20.38
33,11,1985,20.92
33,11,1986,20.54
33,11,1987,20.94
33,11,1988,20.89
33,11,1989,20.72
33,11,1990,21.18
33,11,1991,20.39
33,11,1992,20.47
33,11,1993,21.06
33,11,1994,21.36
33,11,1995,20.57
33,11,1996,20.64
33,11,1997,20.68
33,11,1998,20.58
33,11,1999,21.35
33,11,2000,20.84
33,11,2001,21.12
33,11,2002,21.09
33,11,2003,20.92
33,11,2004,20.53
33,11,2005,20.73
33,11,2006,21.46
33,11,2007,21.25
33,12,1983,20.8
33,12,1984,20.19
33,12,1985,20.65
33,12,1986,20.34
33,12,1987,20.63
33,12,1988,20.7
33,12,1989,20.43
33,12,1990,21
33,12,1991,20.27
33,12,1992,20.27
33,12,1993,20.73
33,12,1994,21.03
33,12,1995,20.46
33,12,1996,20.33
33,12,1997,20.45
33,12,1998,20.27
33,12,1999,21.09
33,12,2000,20.61
33,12,2001,20.73
33,12,2002,20.71
33,12,2003,20.58
33,12,2004,19.96
33,12,2005,20.33
33,12,2006,21.07
33,12,2007,20.97
33,13,1983,20.76
33,13,1984,20.19
33,13,1985,20.64
33,13,1986,20.28
33,13,1987,20.51
33,13,1988,20.68
33,13,1989,20.29
33,13,1990,20.92
33,13,1991,20.32
33,13,1992,20.32
33,13,1993,20.76
33,13,1994,21.08
33,13,1995,20.57
33,13,1996,20.36
33,13,1997,20.45
33,13,1998,20.28
33,13,1999,21.09
33,13,2000,20.54
33,13,2001,20.79
33,13,2002,20.66
33,13,2003,20.56
33,13,2004,19.88
33,13,2005,20.32
33,13,2006,21
33,13,2007,20.85
33,14,1983,20.8
33,14,1984,20.28
33,14,1985,20.67
33,14,1986,20.29
33,14,1987,20.46
33,14,1988,20.74
33,14,1989,20.23
33,14,1990,20.95
33,14,1991,20.44
33,14,1992,20.42
33,14,1993,20.83
33,14,1994,21.21
33,14,1995,20.72
33,14,1996,20.45
33,14,1997,20.49
33,14,1998,20.35
33,14,1999,21.13
33,14,2000,20.54
33,14,2001,20.9
33,14,2002,20.66
33,14,2003,20.61
33,14,2004,19.94
33,14,2005,20.35
33,14,2006,20.96
33,14,2007,20.76
33,15,1983,20.82
33,15,1984,20.33
33,15,1985,20.7
33,15,1986,20.29
33,15,1987,20.42
33,15,1988,20.76
33,15,1989,20.17
33,15,1990,20.96
33,15,1991,20.52
33,15,1992,20.47
33,15,1993,20.88
33,15,1994,21.33
33,15,1995,20.82
33,15,1996,20.49
33,15,1997,20.49
33,15,1998,20.38
33,15,1999,21.16
33,15,2000,20.52
33,15,2001,20.91
33,15,2002,20.63
33,15,2003,20.63
33,15,2004,19.96
33,15,2005,20.33
33,15,2006,20.85
33,15,2007,20.66
33,16,1983,20.78
33,16,1984,20.33
33,16,1985,20.7
33,16,1986,20.26
33,16,1987,20.39
33,16,1988,20.73
33,16,1989,20.1
33,16,1990,20.9
33,16,1991,20.54
33,16,1992,20.47
33,16,1993,20.87
33,16,1994,21.41
33,16,1995,20.87
33,16,1996,20.47
33,16,1997,20.44
33,16,1998,20.37
33,16,1999,21.13
33,16,2000,20.48
33,16,2001,20.84
33,16,2002,20.58
33,16,2003,20.6
33,16,2004,19.88
33,16,2005,20.26
33,16,2006,20.68
33,16,2007,20.53
33,17,1983,20.69
33,17,1984,20.32
33,17,1985,20.69
33,17,1986,20.23
33,17,1987,20.36
33,17,1988,20.71
33,17,1989,20.06
33,17,1990,20.84
33,17,1991,20.53
33,17,1992,20.48
33,17,1993,20.87
33,17,1994,21.47
33,17,1995,20.91
33,17,1996,20.43
33,17,1997,20.37
33,17,1998,20.41
33,17,1999,21.1
33,17,2000,20.43
33,17,2001,20.79
33,17,2002,20.55
33,17,2003,20.55
33,17,2004,19.82
33,17,2005,20.21
33,17,2006,20.52
33,17,2007,20.41
33,18,1983,20.55
33,18,1984,20.24
33,18,1985,20.53
33,18,1986,20.18
33,18,1987,20.25
33,18,1988,20.63
33,18,1989,20
33,18,1990,20.77
33,18,1991,20.47
33,18,1992,20.42
33,18,1993,20.8
33,18,1994,21.44
33,18,1995,20.87
33,18,1996,20.35
33,18,1997,20.27
33,18,1998,20.4
33,18,1999,21.07
33,18,2000,20.33
33,18,2001,20.68
33,18,2002,20.51
33,18,2003,20.46
33,18,2004,19.8
33,18,2005,20.16
33,18,2006,20.39
33,18,2007,20.3
33,19,1983,20.4
33,19,1984,20.11
33,19,1985,20.36
33,19,1986,20.08
33,19,1987,20.14
33,19,1988,20.55
33,19,1989,19.95
33,19,1990,20.66
33,19,1991,20.33
33,19,1992,20.3
33,19,1993,20.7
33,19,1994,21.37
33,19,1995,20.78
33,19,1996,20.26
33,19,1997,20.14
33,19,1998,20.35
33,19,1999,20.99
33,19,2000,20.19
33,19,2001,20.54
33,19,2002,20.44
33,19,2003,20.34
33,19,2004,19.74
33,19,2005,20.07
33,19,2006,20.22
33,19,2007,20.16
33,20,1983,20.16
33,20,1984,19.88
33,20,1985,20.1
33,20,1986,19.89
33,20,1987,19.91
33,20,1988,20.38
33,20,1989,19.84
33,20,1990,20.47
33,20,1991,20.08
33,20,1992,20.08
33,20,1993,20.49
33,20,1994,21.2
33,20,1995,20.62
33,20,1996,20.1
33,20,1997,19.98
33,20,1998,20.17
33,20,1999,20.79
33,20,2000,19.98
33,20,2001,20.34
33,20,2002,20.25
33,20,2003,20.12
33,20,2004,19.6
33,20,2005,19.92
33,20,2006,20.04
33,20,2007,19.97
33,21,1983,19.93
33,21,1984,19.65
33,21,1985,19.86
33,21,1986,19.71
33,21,1987,19.66
33,21,1988,20.19
33,21,1989,19.74
33,21,1990,20.28
33,21,1991,19.84
33,21,1992,19.88
33,21,1993,20.28
33,21,1994,21.04
33,21,1995,20.46
33,21,1996,19.97
33,21,1997,19.85
33,21,1998,20
33,21,1999,20.6
33,21,2000,19.76
33,21,2001,20.17
33,21,2002,20.04
33,21,2003,19.88
33,21,2004,19.46
33,21,2005,19.8
33,21,2006,19.92
33,21,2007,19.82
33,22,1983,19.95
33,22,1984,19.69
33,22,1985,19.9
33,22,1986,19.76
33,22,1987,19.6
33,22,1988,20.24
33,22,1989,19.84
33,22,1990,20.37
33,22,1991,19.88
33,22,1992,19.89
33,22,1993,20.36
33,22,1994,21.12
33,22,1995,20.57
33,22,1996,20.1
33,22,1997,19.98
33,22,1998,20.14
33,22,1999,20.67
33,22,2000,19.79
33,22,2001,20.25
33,22,2002,20.1
33,22,2003,19.85
33,22,2004,19.54
33,22,2005,19.94
33,22,2006,20.02
33,22,2007,19.95
34,2,1983,17.16
34,2,1984,16
34,2,1985,16.88
34,2,1986,16.41
34,2,1987,17.49
34,2,1988,17.05
34,2,1989,17.26
34,2,1990,17.35
34,2,1991,16.01
34,2,1992,15.83
34,2,1993,16.26
34,2,1994,17.11
34,2,1995,16.91
34,2,1996,16.22
34,2,1997,17.19
34,2,1998,16.83
34,2,1999,17.16
34,2,2000,17.29
34,2,2001,17.86
34,2,2002,17.58
34,2,2003,17.82
34,2,2004,17.16
34,2,2005,17.2
34,2,2006,17.76
34,2,2007,16.82
34,3,1983,18.2
34,3,1984,16.89
34,3,1985,17.85
34,3,1986,17.39
34,3,1987,18.46
34,3,1988,18.1
34,3,1989,18.17
34,3,1990,18.36
34,3,1991,17.02
34,3,1992,16.96
34,3,1993,17.27
34,3,1994,18.04
34,3,1995,17.82
34,3,1996,17.13
34,3,1997,18.06
34,3,1998,17.73
34,3,1999,18.12
34,3,2000,18.19
34,3,2001,18.72
34,3,2002,18.6
34,3,2003,18.69
34,3,2004,18.03
34,3,2005,18.11
34,3,2006,18.71
34,3,2007,17.8
34,4,1983,19.56
34,4,1984,18.13
34,4,1985,19.23
34,4,1986,18.75
34,4,1987,19.74
34,4,1988,19.54
34,4,1989,19.42
34,4,1990,19.76
34,4,1991,18.44
34,4,1992,18.35
34,4,1993,18.66
34,4,1994,19.32
34,4,1995,19.02
34,4,1996,18.37
34,4,1997,19.31
34,4,1998,18.95
34,4,1999,19.53
34,4,2000,19.4
34,4,2001,19.97
34,4,2002,19.89
34,4,2003,19.98
34,4,2004,19.25
34,4,2005,19.4
34,4,2006,20.04
34,4,2007,19.2
34,5,1983,20.53
34,5,1984,19.05
34,5,1985,20.14
34,5,1986,19.62
34,5,1987,20.57
34,5,1988,20.52
34,5,1989,20.22
34,5,1990,20.69
34,5,1991,19.41
34,5,1992,19.27
34,5,1993,19.63
34,5,1994,20.2
34,5,1995,19.81
34,5,1996,19.21
34,5,1997,20.16
34,5,1998,19.69
34,5,1999,20.47
34,5,2000,20.14
34,5,2001,20.82
34,5,2002,20.7
34,5,2003,20.83
